Days to Ship Actual,Sales Forecast,Ship Status,Days to Ship Scheduled,Sales per Customer,Profit Ratio,Category,City,Country,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Product Name,Profit,Quantity,Region,Profit per Order,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
3,$392,Shipped On Time,3,$261.96,16.00%,Furniture,Henderson,United States,Claire Gute,0.00%,1,08-11-2016,CA-2016-152156,42420,Bush Somerset Collection Bookcase,$42,2,South,$41.91,$262,Consumer,11-11-2016,Second Class,Kentucky,Bookcases
3,"$1,096",Shipped On Time,3,$731.94,30.00%,Furniture,Henderson,United States,Claire Gute,0.00%,1,08-11-2016,CA-2016-152156,42420,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$220,3,South,$219.58,$732,Consumer,11-11-2016,Second Class,Kentucky,Chairs
4,$22,Shipped Late,3,$14.62,47.00%,Office Supplies,Los Angeles,United States,Darrin Van Huff,0.00%,1,12-06-2016,CA-2016-138688,90036,Self-Adhesive Address Labels for Typewriters by Universal,$7,2,West,$6.87,$15,Corporate,16-06-2016,Second Class,California,Labels
7,"$1,434",Shipped Late,6,$957.58,-40.00%,Furniture,Fort Lauderdale,United States,Sean O'Donnell,45.00%,1,11-10-2015,US-2015-108966,33311,Bretford CR4500 Series Slim Rectangular Table,($383),5,South,$-383.03,$958,Consumer,18-10-2015,Standard Class,Florida,Tables
7,$33,Shipped Late,6,$22.37,11.30%,Office Supplies,Fort Lauderdale,United States,Sean O'Donnell,20.00%,1,11-10-2015,US-2015-108966,33311,Eldon Fold 'N Roll Cart System,$3,2,South,$2.52,$22,Consumer,18-10-2015,Standard Class,Florida,Storage
5,$73,Shipped Early,6,$48.86,29.00%,Furniture,Los Angeles,United States,Brosina Hoffman,0.00%,1,09-06-2014,CA-2014-115812,90032,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$14,7,West,$14.17,$49,Consumer,14-06-2014,Standard Class,California,Furnishings
5,$11,Shipped Early,6,$7.28,27.00%,Office Supplies,Los Angeles,United States,Brosina Hoffman,0.00%,1,09-06-2014,CA-2014-115812,90032,Newell 322,$2,4,West,$1.97,$7,Consumer,14-06-2014,Standard Class,California,Art
5,"$1,359",Shipped Early,6,$907.15,10.00%,Technology,Los Angeles,United States,Brosina Hoffman,20.00%,1,09-06-2014,CA-2014-115812,90032,Mitel 5320 IP Phone VoIP phone,$91,6,West,$90.72,$907,Consumer,14-06-2014,Standard Class,California,Phones
5,$28,Shipped Early,6,$18.50,31.30%,Office Supplies,Los Angeles,United States,Brosina Hoffman,20.00%,1,09-06-2014,CA-2014-115812,90032,DXL Angle-View Binders with Locking Rings by Samsill,$6,3,West,$5.78,$19,Consumer,14-06-2014,Standard Class,California,Binders
5,$172,Shipped Early,6,$114.90,30.00%,Office Supplies,Los Angeles,United States,Brosina Hoffman,0.00%,1,09-06-2014,CA-2014-115812,90032,Belkin F5C206VTEL 6 Outlet Surge,$34,5,West,$34.47,$115,Consumer,14-06-2014,Standard Class,California,Appliances
5,"$2,555",Shipped Early,6,"$1,706.18",5.00%,Furniture,Los Angeles,United States,Brosina Hoffman,20.00%,1,09-06-2014,CA-2014-115812,90032,Chromcraft Rectangular Conference Tables,$85,9,West,$85.31,"$1,706",Consumer,14-06-2014,Standard Class,California,Tables
5,"$1,365",Shipped Early,6,$911.42,7.50%,Technology,Los Angeles,United States,Brosina Hoffman,20.00%,1,09-06-2014,CA-2014-115812,90032,Konftel 250 Conference phone - Charcoal black,$68,4,West,$68.36,$911,Consumer,14-06-2014,Standard Class,California,Phones
5,$23,Shipped Early,6,$15.55,35.00%,Office Supplies,Concord,United States,Andrew Allen,20.00%,1,15-04-2017,CA-2017-114412,28027,Xerox 1967,$5,3,South,$5.44,$16,Consumer,20-04-2017,Standard Class,North Carolina,Paper
5,$611,Shipped Early,6,$407.98,32.50%,Office Supplies,Seattle,United States,Irene Maddox,20.00%,1,05-12-2016,CA-2016-161389,98103,Fellowes PB200 Plastic Comb Binding Machine,$133,3,West,$132.59,$408,Consumer,10-12-2016,Standard Class,Washington,Binders
4,$103,Shipped Early,6,$68.81,-180.00%,Office Supplies,Fort Worth,United States,Harold Pawlan,80.00%,1,22-11-2015,US-2015-118983,76106,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",($124),5,Central,$-123.86,$69,Home Office,26-11-2015,Standard Class,Texas,Appliances
4,$4,Shipped Early,6,$2.54,-150.00%,Office Supplies,Fort Worth,United States,Harold Pawlan,80.00%,1,22-11-2015,US-2015-118983,76106,Storex DuraTech Recycled Plastic Frosted Binders,($4),3,Central,$-3.82,$3,Home Office,26-11-2015,Standard Class,Texas,Binders
7,$997,Shipped Late,6,$665.88,2.00%,Office Supplies,Madison,United States,Pete Kriz,0.00%,1,11-11-2014,CA-2014-105893,53711,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",$13,6,Central,$13.32,$666,Consumer,18-11-2014,Standard Class,Wisconsin,Storage
2,$83,Shipped Early,3,$55.50,18.00%,Office Supplies,West Jordan,United States,Alejandro Grove,0.00%,1,13-05-2014,CA-2014-167164,84084,Fellowes Super Stor/Drawer,$10,2,West,$9.99,$56,Consumer,15-05-2014,Second Class,Utah,Storage
5,$13,Shipped Late,3,$8.56,29.00%,Office Supplies,San Francisco,United States,Zuschuss Donatelli,0.00%,1,27-08-2014,CA-2014-143336,94109,Newell 341,$2,2,West,$2.48,$9,Consumer,01-09-2014,Second Class,California,Art
5,$320,Shipped Late,3,$213.48,7.50%,Technology,San Francisco,United States,Zuschuss Donatelli,20.00%,1,27-08-2014,CA-2014-143336,94109,Cisco SPA 501G IP Phone,$16,3,West,$16.01,$213,Consumer,01-09-2014,Second Class,California,Phones
5,$34,Shipped Late,3,$22.72,32.50%,Office Supplies,San Francisco,United States,Zuschuss Donatelli,20.00%,1,27-08-2014,CA-2014-143336,94109,"Wilson Jones Hanging View Binder, White, 1""",$7,4,West,$7.38,$23,Consumer,01-09-2014,Second Class,California,Binders
4,$29,Shipped Early,6,$19.46,26.00%,Office Supplies,Fremont,United States,Ken Black,0.00%,1,09-12-2016,CA-2016-137330,68025,Newell 318,$5,7,Central,$5.06,$19,Corporate,13-12-2016,Standard Class,Nebraska,Art
